 order,family,genus,species,StemLengthMeters,VDbase um (Vessel diameter stem base micrometers),VDtip um (Vessel diameter stem tip micrometers),Datos crudos sobre hojas,Fuente general,Fuente herbario,Min. longitud total de la hoja (cm),Max. longitud total de la hoja (cm),Min. longitud del peciolo (cm),Max. longitud del peciolo (cm),Min. longitud de la lamina (cm),Max. longitud de la lamina (cm),Min. ancho de hoja o lamina (cm),Max. ancho de hoja o lamina (cm),Tipo de hoja (simple o compuesta),Long hoja (cm),Ancho hoja (cm),NOTAS,,,,
Aquifoliales,Aquifoliaceae,Ilex,aquifolium,5.73,32.08,10.31,,,especie_herbario_ID: Ilex_aquifolium_NY_02518938/Ilex_aquifolium_NY_02518949/Ilex_aquifolium_NY_02519179/Ilex_aquifolium_NY_02519181/Ilex_aquifolium_NY_03493160,4.147,11.24,0.567,1.285,3.58,10.051,1.141,4.971,simple,7.8406,2.9074,,,,,
Aquifoliales,Aquifoliaceae,Ilex,sebertii,6.26,55.51,12.13,,,Ilex_sebertii_US_03352672/Ilex_sebertii_US_03352667/Ilex_sebertii_US_03352670/Ilex_sebertii_US_03352665/Ilex_sebertii_US_03352661,5.749,10.575,1.002,2.161,4.535,8.414,2.814,5.229,simple,7.4934,3.5344,,,,,
Aquifoliales,Aquifoliaceae,Ilex,verticillata,5.07,30.76,10.36,,https://www.biodiversitylibrary.org/page/2141458#page/747/mode/1up,http://mediaphoto.mnhn.fr/media/1497867818175454c3LcHbfHWXyp2,,,0.5,1,2,8,2,4,simple,,,,,,,
Aquifoliales,Cardiopteridaceae,Citronella,smythii,5.62,65.93,22.79,,Citronella_smythii_K_K000700070/Citronella_smythii_P_P04513228/Citronella_smythii_P_P04513225/Citronella_smythii_P_P04513227/Citronella_smythii_P_P04513226,,11.345,15.94,1.071,1.296,10.116,14.869,3.932,6.516,simple,14.138,5.4016,,,,,
Aquifoliales,Stemonuraceae,Gomphandra,australiana,14.07,101.53,26.24,,https://www.biodiversitylibrary.org/name/Gomphandra_australiana,,,,0.7,1.5,6,17,5,8,simple,,,,,,,
Arecales,Arecaceae,Astrocaryum,mexicanum,3.54,67.99,54.30,"Hojas blanquecinas en el anvéz, de 1-1.6 mde largo; pecíolo y raquis con numeroSllS espinas aciculares hasta de 5 cm de largo; plnnas 15-35 pares, lanceoladas, de 40-100 cm de largo, 3-4 cm de ancho, las apicales muy anchas, márgenes espinulosos.",http://www1.inecol.edu.mx/publicaciones/resumeness/FLOVER/81-Quero_I.pdf,,100,160,,,40,100,80,200,compound,,,,,,,
Arecales,Arecaceae,Bactris,trichophylla,1.93,74.56,65.01,,(MEXU_716822/MEXU_931865/MEXU_931861/MEXU_780661/MEXU_928426/MEXU_399292,,,,,,,,,,compound,150,80,Nombre aceptado Bactris mexicana Mart. Medidas aproximadas.,,,,
Arecales,Arecaceae,Calamus,radicalis,31.50,272.49,130.37,"Compound leaves about 3 m long. Leaflets about 60-125 in each compound leaf. Leaflet blades linear, about 15-50 x 1-3 cm, sessile. Leaflet blades with spiny hairs present on the upper surface, underside mainly glabrous except for scattered broad-based spiny hairs, margins spiny. Leaflet blade margins armed with fine hair-like teeth. Compound leaf axis spiny on both the upper and lower surfaces, spines mainly straight on the upper surface, straight and recurved on the lower surface. Compound leaf petioles spiny. Compound leaf stem sheaths densely clothed in long spines (up to 5-6 cm long).",https://www.tropicos.org/name/2401119,,,,,,,,15,30,compound,300,,,,,,
Arecales,Arecaceae,Livistona,australis,6.67,92.80,38.27,"Crown moderately compact to rather open, ± rounded, consisting of 35-60 leaves with straight to gently arching or moderately drooping petioles and pendulous segment-lobes. Ligules moderately prominent, pale brown, patchily floccose with ± appressed scales, margins irregularly fimbriate with fine, soft, straight, tapering scales 8-10 mm long. Petiole 140-250 x 1-2 cm; concave-convex to roughly semi-circular, sometimes convex above and often with 1-2 median ridges. Margins unarmed except at base or with a few small, pungent, hooked prickles near apex and scattered minute, blunt teeth elsewhere; toward base armed with ± closely and regularly spaced pungent, mostly retrorsely hooked blackish prickles to 2.5 mm long. Surfaces green, purplish-brown toward base; upper quite glabrous, sometimes irregularly pitted with narrow, elongated pits, lower rather closely pitted with obscure, shallow, short and broad to long and narrow pits, on young leaves bearing floccose scales to 3-4 mm long, usually pale brown, divided to base into several straplike but usually tightly twisted, branched laciniae. Hastula cylindrical to flattened; base shortly but broadly 3-lobed, lateral lobes wider than central; rim at 10-90° to costa, 5-30 mm wide usually with blunt peak at centre, with very narrow to broad necrotic margin. Lamina 110-130 cm long, moderately costapalmate, usually with narrow basal sinus or even with lower edges overlapping, chartaceous-coriaceous, moderately tough to rather brittle and readily split. Segments (35-) 40-46 either side of costa; largest segments 28-49 mm wide, tapering slightly toward point of bifurcation, free for 49-59% of their length, bifurcated for 50-63% of free length, the lobes parallel or slightly diverging, evenly tapering into soft, acute apices, early-frequently broken or split. Major longitudinal veins 7-10 either side of abaxial rib, moderately prominent above, slightly less prominent below; transverse veins evident to moderately prominent above, prominent below. Surfaces green, glossy, often with strong brownish tinge above, deep green beneath, closely striate between veins, quite glabrous except for ribs minutely punctate with brownish, pustular basal-masses, these stipitate on minute prickle-like stalks on adaxial ribs close to hastula; on young leaves bearing dense, floccose, pale brownish scales toward bases of ribs.",https://www.biodiversitylibrary.org/page/2376391#page/229/mode/1up),,,,140,250,110,130,,,simple,,,,,,,
Arecales,Arecaceae,Reinhardtia,gracilis,1.10,41.39,33.95,"Hojas profundamente bífidas apicalmente, 12–30 cm de largo, con (3–) 2 (–4) pinnas a cada lado, fenestradas a cada lado del raquis entre la mayor parte de los 8–22 nervios; pinnas (cuando presentes) 8.5–25 cm de largo y 1.3–6.5 cm de ancho, angostamente cuneadas con ápice oblicuo muy agudamente serrado, 3–7-nervias, el segmento apical similar pero más ancho, 5–16-nervio, el margen superior 7.5–23 cm de largo, el inferior 9.5–22 cm de largo; pecíolo 7–60 cm de largo, pálido, plano y glabro adaxialmente, convexo, angostamente alado y café-lepidoto a glabrescente abaxialmente.   Petiole elongate, pale and narrowly wing-margined below with deciduous scales, the rachis 3.5-23 cm ling with 2 or rarely 3-4 pinnae on each side, these with narrowly elongate perforations or ""windows"" along the rachis between most of the 8-22 pairs of nerves, the terminal pinnae largest, with 5-16 nerves, 7.5-23 cm long on the upper margin, the outer margin coarsely dentate, the lower pair or pairs of pinnae narrowly cuneate and mostly 3-7 nerved, 8.5-25 cm long, 2.8 -15 cm wide, coarsely dentate on the lower margin",http://legacy.tropicos.org/Name/50148690?projectid=7       https://www.biodiversitylibrary.org/page/2376739#page/299/mode/1up,,12,30,,,,,2.6,13,compound,,,,,,,
Arecales,Arecaceae,Washingtonia,robusta,11.30,77.23,65.82,"Hojas verdes, brillantes, con pecíolo de 81-154 x 3.5-4.5 cm, y dientes esponosos de 0.4-1.5 cm, dispuestos en dos series y de color que varía del pardo al anaranjado; hástula 5-14 x 4-4.4 cm, triangular, con los margenes membranaceos, deshilachados; lámina 93-113 x 90-148 cm, con segmentos de 38-113x 1.8-6 cm, algo deshilachados en los bordes; base 22-75 x 14-44 cm de color pardo, con cerdas hasta de 6 cm en los margenes",http://www.floraiberica.es/floraiberica/texto/pdfs/18_178_03_Washingtonia.pdf,,,,81,154,93,113,90,148,simple,,,,,,,
Asparagales,Asparagaceae,Asparagus,aethiopicus,2.53,54.46,22.88,"Leaves reduced to small veinless scales subtending axillary leaf-like stems (cladodes) that are grouped 2-5 in axils of scale leaves; cladodes flattened, linear or narrow elliptical; apex rounded and shortly apiculate, appearing one-veined, hairless.",http://www.canbr.gov.au/cpbr/cd-keys/RFK7/key/RFK7/Media/Html/entities/Asparagus_aethiopicus.htm,https://plants-jstor-org.pbidi.unam.mx:2443/stable/viewer/10.5555/al.ap.specimen.linn-hs600-3,,,,,,,,,simple,1.0596,0.1204,ESTAS SON MEDIDAS DE LOS CLADODIOS,,,,
Asparagales,Asparagaceae,Eustrephus,latifolius,4.12,52.93,31.54,"Leaf blades about 4-10.5 x 1.2-3.5 cm, petioles about 0.1-0.3 cm long, grooved on the upper surface. Venation longitudinal and parallel with 2-4 veins on each side of the midrib more prominent that the rest.",http://www.canbr.gov.au/cpbr/cd-keys/RFK7/key/RFK7/Media/Html/entities/Eustrephus_latifolius.htm,,,,0.1,0.3,4,10.5,1.2,3.5,simple,9.5,,,,,,
Asterales,Alseuosmiaceae,Crispiloba,disperma,4.49,33.62,17.21,,,Crispiloba_disperma_BM_BM001041348/Crispiloba_disperma_BM_BM001041347/Crispiloba_disperma_K_K000779434,9.764,11.517,0.518,1.371,9.246,10.774,2.709,3.272,simple,10.808,3.027667,,,,,
Asterales,Alseuosmiaceae,Platyspermation,crassifolium,2.60,30.94,17.56,,,Platyspermation_crassifolium_US_01930519/Platyspermation_crassifolium_S_SG-4913/Platyspermation_crassifolium_P_P00244002,4.961,7.756,0.779,0.872,4.089,6.977,1.173,1.47,simple,6.407333,1.286,,,,,
Asterales,Argophyllaceae,Argophyllum,cryptophlebum,0.97,27.32,19.00,"Petiole 13-38 mm long; fully expanded lamina broadly-elliptic, ovate, or broadly ovate, 41-131 mm long, 21-61 mm wide, 1.5-2.9 times longer than wide; 5-7 lateral secondary veins on either side of midrib. Lamina apex usually acute, sometimes shortly acuminate; base cuneate, not oblique. Lamina margins denticulate, with teeth all about the same size, 7-14 on each side of the lamina, the teeth 0.3-0.8 mm long; margins sometimes entire, with teeth reduced to small glands. Upper surface of fully expanded lamina green, glabrous or sometimes with persisting T-shaped hairs 0.3-0.5 mm long. Lower surface of lamina white or rusty-brown from hairs, hairs appressed; secondary veins rusty, slightly raised; tertiary veins rusty or white, ± flush with indumentum.",http://www.canbr.gov.au/cpbr/cd-keys/RFK7/key/RFK7/Media/Html/entities/Argophyllum_cryptophlebum.htm,,,,1.3,3.8,4.1,13.1,2.1,6.1,simple,11.15,,,,,,
Asterales,Argophyllaceae,Argophyllum,grunowii,2.20,30.38,18.60,,,Argophyllum_grunowii_P_P00537629/Argophyllum_grunowii_P_P00911814/Argophyllum_grunowii_P_P00930755/Argophyllum_grunowii_P_P00936745,6.724,14.732,1.614,3.714,5.11,11.018,2.13,5.283,simple,10.522,3.722,,,,,
Asterales,Argophyllaceae,Argophyllum,nitidum,5.00,88.99,9.82,,,Argophyllum_nitidum_K_K000739389/Argophyllum_nitidum_LE_LE00013426/Argophyllum_nitidum_S_S09-19843/Argophyllum_nitidum_B_B100296104/Argophyllum_nitidum_BM_BM000600292,6.033,13.058,1.094,2.517,4.939,10.541,2.514,4.678,simple,10.7294,3.637,,,,,
Asterales,Argophyllaceae,Argophyllum,vernicosum,1.82,44.56,11.95,,https://plants-jstor-org.pbidi.unam.mx:2443/stable/viewer/10.5555/al.ap.specimen.p00537640,Argophyllum_vernicosum_P_P00537640/Argophyllum_vernicosum_P_P00537632/Argophyllum_vernicosum_P_P00537630/Argophyllum_vernicosum_US_01928633/Argophyllum_vernicosum_US_01928634,8.102,26.838,1.594,8.097,6.508,18.741,2.379,10.787,simple,15.8414,5.6322,,,,,
Asterales,Asteraceae,Ageratina,sp,1.21,37.00,13.46,,,,,,,,,,,,,,,,,,,
Asterales,Asteraceae,Ambrosia,artemisiifolia,0.90,24.84,15.13,"Leaves opposite (proximal) and alternate; petioles 25–35(–60+) mm; blades deltate to lanceolate or elliptic, 25–55(–90+) × 20–30(–50+) mm, 1–2-pinnately lobed, bases cuneate, ultimate margins entire or toothed, abaxial faces sparsely pilosulous to strigillose, adaxial faces strigillose, both gland-dotted",http://worldfloraonline.org/taxon/wfo-0000063493,,,,2.5,3.5,2.5,5.5,2,3,simple,,,,,,,
Asterales,Asteraceae,Artemisia,californica,1.10,24.44,11.30,"Leaves cauline, light green to gray; blades filiform or spatulate to obovate, 3-5(-9) × 0.5-2 cm, sometimes pinnately lobed (lobes filiform, 0.5-1 mm wide), faces sparsely to densely hairy.",https://herbanwmex.net/portal/taxa/index.php?taxon=43566&clid=3624,,,,,,3,5,0.5,2,simple,4,,hoja sésil,,,,
Asterales,Asteraceae,Baccharis,reticulata,0.64,27.64,11.82,". Leaves narrowly to broadly triangular scales to 0.2 cm long, apex obtuse, margin entire, without conspicuous venation; central vascular strand with or without sclerenchyma; stomata present only abaxially; both leaf surfaces (and stems) with tufts of 4–7-celled (excluding basal cell) flagellate hairs and biseriate glandular hairs; guard cells of stomata 50–90 mm long; plants rarely with developed, ovate, obovate, or elliptic leaves to 1.0 +0.5 cm",https://www.researchgate.net/publication/263511971_The_Alate_Species_of_Baccharis_Compositae-Astereae_of_the_North_Andes,,,,,,,,,,simple,1,5,,,,,
Asterales,Asteraceae,Baccharis,sp,1.18,22.45,11.83,,,,,,,,,,,,,,,,,,,
Asterales,Asteraceae,Brickellia,californica,1.72,41.30,17.67,"Leaves alternate; petioles 5–60+ mm; blades 3-nerved from bases, ovate to deltate, 10–100 × 10–90 mm, bases cordate to truncate, margins crenate to serrate, apices acute to rounded, faces puberulent to glabrate, often gland-dotted.",http://worldfloraonline.org/taxon/wfo-0000059044,,,,0.5,6,1,10,1,9,simple,,,,,,,
Asterales,Asteraceae,Cassinia,denticulata,1.29,23.06,14.66,,,Cassinia_denticulata_BM_BM000895559/Cassinia_denticulata_GDS_G00461560/Cassinia_denticulata_BM_BM000895558,0.676,1.725,,,0.676,1.725,0.329,0.576,simple,1.458,0.4224,Sesil,,,,
Asterales,Asteraceae,Chiliotrichum,diffusum,0.84,17.13,8.52,,,Chiliotrichum_diffusum_US_01714334/Chiliotrichum_diffusum_US_01714340/Chiliotrichum_diffusum_US_01714318/Chiliotrichum_diffusum_US_01714321/Chiliotrichum_diffusum_US_00751202,1.18,1.858,,,1.18,1.858,0.355,0.48,simple,1.532,0.4326,Sesil,,,,
Asterales,Asteraceae,Cirsium,conspicuum,1.56,9.38,13.41,Medida a partir de 2 ejemplares. Hoja 1) 28.6 x 13.6cm HOJA 2) 44.1x13.2cm,,HOJA 1) https://storage.idigbio.org/portals/seinet/sernec/FLAS/00216/216833a1_1522357782_web.jpg HOJA 2) https://swbiodiversity.org/imglib/h_seinet/seinet/ASU/ASU0013/ASU0013575.jpg,,,,,,,,,simple,36.3,13.4,,Rev_Jorge,,,
Asterales,Asteraceae,Delairea,odorata,2.11,68.44,23.01,"FUENTE 1: Leaf: alternate, evenly spaced; petiole base often with 2 stipule-like lobes; blade 3--8(12) cm, widely deltate, palmately 5--9-lobed, lobes acute to acuminate, faces green to yellow-green, shiny. FUENTE 2:  Leaves: petioles about equaling blades, sometimes with pair of stipule-like lobes at bases; blades ± orbiculate or polygonal, 3–8(–12) × 3–8(–12) cm, lobes or teeth (3–)5–9+, acute. FUENTE 3: Leaves up to 7 x 8 cm, deltoid-ovate in outline, sharply 3-5 lobed on either side, sinuses broad, base cordate to hastate; petiole about as long as the blade, often twisted, usually with two small leaf-like auricles at the base. ",1) https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=804  2) http://beta.floranorthamerica.org/Delairea_odorata 3) http://www.worldfloraonline.org/taxon/wfo-0000069201,,7,8,,,3,8,,,simple,,,,Rev_Jorge,,,
Asterales,Asteraceae,Encelia,virginensis_var_actonii,0.59,40.95,16.54,"Leaf: scattered along stem; petiole 6--12 mm; blade 2.5--4 cm, ovate to deltate, acute, silvery green, canescent. La variedad ya se considera especie y es sinónimo de  E. actoni. Fuente: http://www.theplantlist.org/tpl1.1/record/gcc-54850",https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=2562,,,,0.6,1.2,2.5,4,,,simple,,,,Rev_Jorge,,,
Asterales,Asteraceae,Ericameria,arborescens,0.77,28.28,10.05,"FUENTE 1: Leaf: 25--90 mm, thread-like to linear, acute, sparsely gland-dotted in pits. FUENTE 2: Leaves mostly ascending to spreading, older deflexed; blades filiform (sulcate to concave), 25–90 × 0.5–3 mm, midnerves obscure to evident, apices acuminate to attenuate, often mucronate, faces glabrous or sparsely hairy, gland-dotted (in deep, circular pits), resinous; axillary leaf fascicles sometimes present. ",1) https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=2583  2)http://www.worldfloraonline.org/taxon/wfo-0000132882,,,,,,1.2,3.5,0.05,0.3,simple,5.75,,Sésil,Rev_Jorge,,,
Asterales,Asteraceae,Ericameria,martirensis,0.32,25.13,9.09,"Medida a partir de 5 ejemplares. Hoja 1) 0.9x0.2cm, 2) 1x0.2cm, 3) 1x0.2cm, 4) 0.6x0.2cm y 5) 0.7x0.1cm.",,HOJA 1)https://herbanwmex.net/portal/collections/individual/index.php?occid=14209855  HOJA 2) https://herbanwmex.net/portal/collections/individual/index.php?occid=2788001  HOJA 3)https://herbanwmex.net/portal/collections/individual/index.php?occid=18496361 HOJA 4)http://datosabiertos.unam.mx/IBUNAM:MEXU:705391 HOJA 5)http://datosabiertos.unam.mx/IBUNAM:MEXU:684202,0.6,1,,,,,0.1,0.2,simple,,,,Rev_Jorge,,,
Asterales,Asteraceae,Ericameria,pinifolia,0.38,30.92,9.72,"Leaves ascending to spreading; blades linear to narrowly oblanceolate (terete or adaxially sulcate), 12–35 × 0.5–1.5 mm, midnerves obscure, apices acute, often mucronate, faces glabrous or moderately hairy, gland-dotted (in circular, deep pits), resinous; axillary fascicles of 4–10 leaves, shorter than subtending leaves.",http://www.worldfloraonline.org/taxon/wfo-0000068163,,,,,,1.2,3.5,0.05,0.105,simple,2.42,,,Rev_Jorge,,,
Asterales,Asteraceae,Gochnatia,polymorpha,8.80,62.60,10.43,"Simple leaves varying from oblonglanceolate to elliptical-lanceolate in form and measuring 8-12 cm in length and 3-5 cm in width, with alternate phyllotaxy, mucronate acute apex, rounded base, entire or slightly toothed margin, pinnate venation and short petiole. The adaxial surface is bright green as compared to the gray abaxial side. In addition, the leaves show coriaceous consistency. ",https://www.sciencedirect.com/science/article/pii/S0102695X13700735,,8,12,,,,,3,5,simple,,,,Rev_Jorge,,,
Asterales,Asteraceae,Gynoxys,cuicochensis,1.17,18.92,13.08,"Las hojas son opuestas, lanceoladas y miden hasta 10 cm de largo.",http://www.mobot.org/mobot/ParamoCajas/results.aspx?taxname=Gynoxys%20cuicochensis,,,10,,,,,,,simple,10,,,Rev_Jorge,,,
Asterales,Asteraceae,Hazardia,squarrosa,0.64,19.76,11.34,"Leaves sessile; blades oblong or oblong-obovate to widely obovate, 13–35(–50) × 5–17(–24) mm, coriaceous, bases clasping to subclasping, margins spinulose-dentate (teeth in 3–13 pairs), adaxial faces glabrous to sparsely puberulent.",http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=250066843,,,,,,1.3,3.5,0.5,1.7,simple,2.4,,Sésil,Rev_Jorge,,,
Asterales,Asteraceae,Hieracium,hieronymi,0.65,31.67,14.13,"Medida a partir de 2 ejemplares.Hoja 1) 4.7x0.27cm, Hoja 2)12.25x3.75cm. Las medidas de la hoja 2 se obtuvieron de un sinonimo H. ecuadoriense.",,HOJA 1) https://cotram.org/collections/individual/index.php?occid=1884918  HOJA 2) http://bndb.braining.ws/bndb/collections/individual/index.php?occid=7344436,4.7,12.25,,,,,0.27,3.75,simple,,,,Rev_Jorge,,,
Asterales,Asteraceae,Malacothrix,saxatilis,1.13,24.80,16.18,"FUENTE 1) Leaf: generally all cauline (basal withering early), linear to obovate, entire to irregularly lobed. FUENTE 2) Leaves variable as to marginal indentation, cauline, sessile, covered with white tomentum, or tomentulose when young, becoming glabrous, succulent or not succulent, alternate, or sometimes fascicled, lower leaves 2-12 cm long, lanceolate or spatulate, entire, coarsely toothed or pinnatifid, or irregularly bipinnatifid into numerous narrow linear divisions; upper leaves linear-lanceolate to spatulate, often entire, decreasing in size apically.",1) https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=4078  2) https://www.jstor.org/stable/2422630?casa_token=7RWBzSNiqFoAAAAA%3AVhpfnLaQm66H4CxiEAdHhYNLKN2kvNvWWnk5HA3livxSzev2kN23k1dcozKFpmjOT_51x7RKLyJcqQTfRjkW4eaw5nAFCuAcsQiGPc73UnvCccqXatCGTA&seq=16#metadata_info_tab_contents ,,2,12,,,,,,,simple,,,,Rev_Jorge,,,
Asterales,Asteraceae,Ozothamnus,hookeri,0.47,15.98,4.08,"Leaves appressed, scale-like, triangular to ovate, 1–3 mm long, 0.5–1 mm wide, base auriculate, margins revolute and ± concealing lower surface; lamina discolorous, upper surface green and viscid, lower surface white-tomentose. La descripción de la hoja es a partir de su sinónimo: O. cupressoides.",https://plantnet.rbgsyd.nsw.gov.au/cgi-bin/NSWfl.pl?page=nswfl&lvl=sp&name=Ozothamnus~cupressoides,,0.1,0.3,,,,,0.05,0.1,simple,,,,Rev_Jorge,,,
Asterales,Asteraceae,Ozothamnus,ledifolius,0.27,18.84,3.63,"Leaves oblong-linear, blunt, spreading, leathery with strongly revolute margins, 1⁄4 to 9⁄16 in. long, 1⁄20 to 1⁄12 in. wide, glabrous or with a few hairs above, downy and, like the stems, covered by a sweetly aromatic yellowish exudate beneath.",http://treesandshrubsonline.org/articles/ozothamnus/ozothamnus-ledifolius/,,0.6,1.4,,,,,0.1,0.2,simple,,,,Rev_Jorge,,,
