 order,family,genus,species,Stem Length Meters,VDbase µm (Vessel diameter stem base micrometers),VDtip µm (Vessel diameter stem tip micrometers),Datos crudos sobre hojas,Fuente general,Fuente herbario,Mín. longitud total de la hoja (cm),Máx. longitud total de la hoja (cm),Mín. longitud del peciolo (cm),Máx. longitud del peciolo (cm),Mín. longitud de la lámina (cm),Máx. longitud de la lámina (cm),Mín. ancho de hoja o lámina (cm),Máx. ancho de hoja o lámina (cm),Tipo de hoja (simple/compuesta),Long hoja (cm),Ancho hoja (cm),NOTAS
Asterales,Asteraceae,Baccharis,reticulata,0.64,27.64,11.82,,,,,,,,,,,,,,,
Asterales,Asteraceae,Baccharis,sp,1.18,22.45,11.83,,,,,,,,,,,,,,,
Asterales,Asteraceae,Brickellia,californica,1.72,41.30,17.67,,,,,,,,,,,,,,,
Asterales,Asteraceae,Cassinia,denticulata,1.29,23.06,14.66,,,,,,,,,,,,,,,
Asterales,Asteraceae,Chiliotrichum,diffusum,0.84,17.13,8.52,,,,,,,,,,,,,,,
Asterales,Asteraceae,Cirsium,sp,1.56,9.38,13.41,,,,,,,,,,,,,,,
Asterales,Asteraceae,Delairea,odorata,2.11,68.44,23.01,,,,,,,,,,,,,,,
Asterales,Asteraceae,Encelia,virginensis_var_actonii,0.59,40.95,16.54,,,,,,,,,,,,,,,
Asterales,Asteraceae,Ericameria,arborescens,0.77,28.28,10.05,,,,,,,,,,,,,,,
Asterales,Asteraceae,Ericameria,martirensis,0.32,25.13,9.09,,,,,,,,,,,,,,,
Asterales,Asteraceae,Ericameria,pinifolia,0.38,30.92,9.72,,,,,,,,,,,,,,,
Asterales,Asteraceae,Gochnatia,polymorpha,8.80,62.60,10.43,,,,,,,,,,,,,,,
Asterales,Asteraceae,Gynoxys,cuicochensis,1.17,18.92,13.08,,,,,,,,,,,,,,,
Asterales,Asteraceae,Hazardia,squarrosa,0.64,19.76,11.34,,,,,,,,,,,,,,,
Asterales,Asteraceae,Hieracium,hieronymi,0.65,31.67,14.13,,,,,,,,,,,,,,,
Asterales,Asteraceae,Malacothrix,saxatilis,1.13,24.80,16.18,,,,,,,,,,,,,,,
Asterales,Asteraceae,Ozothamnus,hookeri,0.47,15.98,4.08,,,,,,,,,,,,,,,
Asterales,Asteraceae,Ozothamnus,ledifolius,0.27,18.84,3.63,,,,,,,,,,,,,,,
Asterales,Asteraceae,Ozothamnus,rodwayi,0.61,27.19,13.95,,,,,,,,,,,,,,,
Asterales,Asteraceae,Piptocarpha,rotundifolia,4.27,87.08,13.64,,,,,,,,,,,,,,,
Asterales,Asteraceae,Piptocarpha,sp,1.36,14.07,11.83,,,,,,,,,,,,,,,
Asterales,Asteraceae,Senecio,sericeo_nitens,0.86,31.22,10.62,,,,,,,,,,,,,,,
Asterales,Asteraceae,Solidago,rugosa,1.22,14.52,9.83,,,,,,,,,,,,,,,
Asterales,Asteraceae,Verbesina,lottiana,5.12,36.92,14.11,,,,,,,,,,,,,,,
Asterales,Asteraceae,Vernonanthura,phosphorica,3.13,49.63,14.35,,,,,,,,,,,,,,,
Asterales,Campanulaceae,Lobelia,sp,1.72,41.89,11.92,,,,,,,,,,,,,,,
Asterales,Goodeniaceae,Scaevola,beckii,3.15,90.96,16.60,,,,,,,,,,,,,,,
Asterales,Phellinaceae,Phelline,comosa,2.80,47.23,19.78,,,,,,,,,,,,,,,
Asterales,Phellinaceae,Phelline,sp1,4.14,46.80,19.53,,,,,,,,,,,,,,,
Asterales,Phellinaceae,Phelline,sp2,2.81,51.57,22.72,,,,,,,,,,,,,,,
Asterales,Phellinaceae,Phelline,sp3,4.56,41.00,16.43,,,,,,,,,,,,,,,
Asterales,Rousseaceae,Abrophyllum,ornans,3.10,63.23,32.10,,,,,,,,,,,,,,,
Asterales,Rousseaceae,Carpodetus,serratus,6.88,54.69,16.82,,,,,,,,,,,,,,,
Asterales,Stylidiaceae,Stylidium,laricifolium,1.37,15.20,11.52,,,,,,,,,,,,,,,
Austrobaileyales,Austrobaileyaceae,Austrobaileya,scandens,21.16,136.84,51.12,"Leaf blade length (cm): 10-16 Leaf Blade width (cm): 3.5-8 Petiole (cm): 1.5-3  Average leaf blade 13 cm - average petiole length: 2.25cm

",http://www.canbr.gov.au/cpbr/cd-keys/RFK7/key/RFK7/Media/Html/entities/Austrobaileya_scandens.htm,,,,,,,,,,,15.25,,
Austrobaileyales,Schisandraceae,Illicium,mexicanum,8.10,38.57,18.01,,,,,,,,,,,,,,,
Austrobaileyales,Trimeniaceae,Trimenia,moorei,16.93,90.96,15.75,,,,,,,,,,,,,,,
Austrobaileyales,Trimeniaceae,Trimenia,neocaledonica,4.41,78.10,28.91,,,,,,,,,,,,,,,
Berberidopsidales,Aextoxicaceae,Aextoxicon,punctatum,11.60,40.18,7.39,,,,,,,,,,,,,,,
Berberidopsidales,Berberidopsidaceae,Berberidopsis,beckleri,8.73,72.59,15.38,,,,,,,,,,,,,,,
Berberidopsidales,Berberidopsidaceae,Streptothamnus,moorei,13.45,153.44,14.69,,,,,,,,,,,,,,,
Boraginales,Boraginaceae,Bourreria,sonorae,1.82,27.07,11.21,,,,,,,,,,,,,,,
Boraginales,Boraginaceae,Cordia,curassavica,1.09,27.30,9.70,,,,,,,,,,,,,,,
Boraginales,Boraginaceae,Cordia,trichotoma,2.48,26.55,13.33,"hojas son simples, alternas de 5 a 15 cm de largo y de 8 cm de ancho, oblongas, haz y envés de color verde oscuro y pubescente","Estudio ecológico y silvicultural de Cordia trichotoma, Cabralea canjerana y Picrasma crenata. Su potencialidad en la diversificación productiva González Paola Analía*1 , Barth Sara Regina 2",,,,,,,,,,,,,
Boraginales,Orobanchaceae,Castilleja,sp,0.37,17.09,12.54,"hojas sésiles, alternas o en ocasiones opuestas en la base de los tallos, enteras a pinnatífidas","Rzedowski, J. (2001). Flora fanerogámica del Valle de México (No. C/582.09725 F56/2001).",,,,,,,,,,,,,
Brassicales,Akaniaceae,Akania,bidwillii,12.87,72.16,27.41,"Leaves mostly paripinnate, to 75 cm long; leaflets 8–31 per leaf, lanceolate, 10–28 cm long, 2–4.5 cm wide, apex acuminate, base obtuse to ± cordate, margins regularly spinose-toothed, upper surface dark green and shiny, lower surface paler and dull; venation prominent, finely reticulate; petiole 10–15 cm long; petiolules swollen, 5–15 mm long; stipules subulate",https://plantnet.rbgsyd.nsw.gov.au/cgi-bin/NSWfl.pl?page=nswfl&lvl=sp&name=Akania~bidwillii,,,,,,,,,,,,,
Brassicales,Bataceae,Batis,maritima,1.46,31.25,14.31,"Hojas opuestas, semicilíndricas, lineales o en formas de maza, enteras y sésiles sin capitulas, agudas de 1 a 2cm de largo.",https://www.ecured.cu/Barrilla_(Planta)#Hojas,,,,,,,,,,,,,
Brassicales,Caricaceae,Jacaratia,dolichaula,5.77,124.12,36.13,"Hojas alternas, compuestas, con 3-5 foliólos de 3-19 x 1.5-7 cm, elípticos, lanceolados, oblanceolados u obovados, los márgenes usualmente enteros.",https://sura.ots.ac.cr/local/florula4/find_sp.php?key_species_code=LS000899&key_family=Caricaceae&key_genus=Jacaratia&specie_name=dolichaula#,,,,,,,,,,,,,
Brassicales,Caricaceae,Jacaratia,mexicana,13.17,173.47,40.74,"Hojas apicales en las ramillas de cuarto orden; peciolo de 3 a 7 cm de largo x 1 a 1.5 cm de diámetro; peciólulos de 1 a 3 mm de largo; foliolos 5, de 4 a 8 cm de largo y 3.7 cm de ancho, obovados, base cuneada, ápice acuminado, margen entero",,,,,,,,,,,,,,
Brassicales,Forchhammeriaceae,Forchhammeria,watsonii,4.94,70.81,11.24,"Leaves coriaceous, narrowly to broadly linear, 3 to 5 inches long, 2 to 6 lines broadm more or less puberulent cordate at base, strongly reticulated beneath, with prominent midrib and revolute margins",https://www.biodiversitylibrary.org/page/368906#page/334/mode/1up,,,,,,,,,,,,,
Brassicales,Gyrostemonaceae,Codonocarpus,cotinifolius,4.30,108.42,24.94,"Hojas simples, anchas",,,,,,,,,,,,,,
Brassicales,Gyrostemonaceae,Gyrostemon,ramulosus,3.63,91.06,23.02,Hojas delgadas,,,,,,,,,,,,,,
Bruniales,Bruniaceae,Berzelia,lanuginosa,3.00,24.89,16.17,,,,,,,,,,,,,,,
Bruniales,Columelliaceae,Desfontainia,spinosa,3.50,26.05,6.76,,,,,,,,,,,,,,,
Buxales,Buxaceae,Buxus,sempervirens,1.42,16.23,7.40,"Hojas de 10-30 mm de longitud, opuestas, ovaladas, coriáceas, obtusas o emarginadas, glabras o escasamente pelosas en la base, cortamente pecioladas, de color variable, desde amarillento a verde intenso, rojizas durante el invierno.",,,1cm,3 cm,,,,,,,,,,
Canellales,Canellaceae,Canella,winterana,20.00,238.60,63.28,"hojas de 5-10 cm, obovado-elípticas, redondeadas en el ápice, estrechadas hacia la base, nervios prominulos en ambas caras",http://www.cybertruffle.org.uk/vinales/esp/canella_winterana.htm,,5 cm,10 cm,,,,,,,,,,
Caryophyllales,Achatocarpaceae,Achatocarpus,gracilis,4.32,35.23,9.87,"Hojas 4-7 × 2-3.5 cm, obovado-oblongas o elíptico- oblongas, frecuentemente verde intenso, rara vez pardo olivo, en su mayoría cartáceas, rara vez subcoriáceas, el envés densamente peloso, el haz glabrescente pero frecuentemente peloso a lo largo de la costa, la base aguda a atenuada, los márgenes ciliados, el ápice generalmente obtuso o redondeado, frecuentemente con algunas muescas; pecíolo 1- 5(-10) mm, puberulento.",http://worldfloraonline.org/taxon/wfo-0000515946;jsessionid=E662C1A89BE2F6F23586EABC36716A16,,4 cm,7 cm,,,,,,,,,,
Caryophyllales,Aizoaceae,Sesuvium,portulacastrum,0.75,23.42,9.96,"Opuestas, oblongas a oblongo-lanceoladas, suculentas, de hasta 6 cm de largo y 1.5 cm de ancho, pero normalmente mucho más pequeñas (aproximadamente 2.0 x 0.5 cm), lisas, el margen entero, las venas no se ven. Los pecíolos de hasta 8 mm de largo, con la base ancha y abrazando al tallo.","http://www.conabio.gob.mx/malezasdemexico/aizoaceae/sesuvium-portulacastrum/fichas/ficha.htm#:~:text=Hojas%3A%20Opuestas%2C%20oblongas%20a%20oblongo,ancha%20y%20abrazando%20al%20tallo.",,,,,,,,,,,,,
Caryophyllales,Amaranthaceae,Celosia,monosperma,3.74,29.44,22.80,,,,,,,,,,,,,,,
Caryophyllales,Amaranthaceae,Froelichia,humboldtiana,2.64,19.61,8.58,,,,,,,,,,,,,,,
Caryophyllales,Amaranthaceae,Iresine,arbuscula,14.23,57.11,22.61,"leaves much as in the preceding but thicker, small and longer petioles",https://www.biodiversitylibrary.org/page/29953490#page/358/mode/1up,,,,,,,,,,,,,
Caryophyllales,Amaranthaceae,Iresine,sp,1.52,25.19,19.52,"hojas pecioladas con los peciolos a veces decurrentes, enteras, con frecuencia con las nervaduras manifiestas","Rzedowski, J. (2001). Flora fanerogámica del Valle de México (No. C/582.09725 F56/2001).",,,,,,,,,,,,,
Caryophyllales,Basellaceae,Anredera,cordifolia,8.05,114.64,18.79,"Leaf blades rather thick, soft and fleshy, snapping when bent on themselves, about 2.5-9 x 10 cm, petioles about 0.3-3.5 cm long. Lateral veins four to six on each side of the midrib.",http://www.canbr.gov.au/cpbr/cd-keys/RFK7/key/RFK7/Media/Html/entities/Anredera_cordifolia.htm,,,,,,,,,,,,,
Caryophyllales,Cactaceae,Cereus,jamacaru,3.69,62.24,8.72,No tienen hojas,,,,,,,,,,,,,,
Caryophyllales,Cactaceae,Cylindropuntia,cholla,1.40,45.37,22.91,No tienen hojas,,,,,,,,,,,,,,
Caryophyllales,Cactaceae,Mammillaria,affarmillata,0.07,24.48,17.17,"SEGÚN TROPICOS, ESTE NOMBRE DE ESPECIE NO EXISTE",,,,,,,,,,,,,,
Caryophyllales,Cactaceae,Mammillaria,petrophila,0.07,28.24,20.48,No tienen hojas,,,,,,,,,,,,,,
Caryophyllales,Cactaceae,Marginatocereus,marginatus,7.90,83.97,8.39,No tienen hojas,,,,,,,,,,,,,,
Caryophyllales,Cactaceae,Opuntia,excelsa,5.62,57.22,14.13,No tienen hojas,,,,,,,,,,,,,,
Caryophyllales,Cactaceae,Pachycereus,pecten_aboriginum,4.64,63.23,21.44,No tienen hojas,,,,,,,,,,,,,,
Caryophyllales,Cactaceae,Peniocereus,cuixmalensis,1.23,28.40,20.80,No tienen hojas,,,,,,,,,,,,,,
Caryophyllales,Cactaceae,Pilosocereus,pachycladus,3.10,19.08,23.21,No tienen hojas,,,,,,,,,,,,,,
Caryophyllales,Cactaceae,Pilosocereus,purpusii,5.94,54.63,19.84,No tienen hojas,,,,,,,,,,,,,,
Caryophyllales,Cactaceae,Stenocereus,chrysocarpus,7.80,68.04,19.87,No tienen hojas,,,,,,,,,,,,,,
Caryophyllales,Cactaceae,Stenocereus,thurberi,3.95,55.26,20.15,No tienen hojas,,,,,,,,,,,,,,
Caryophyllales,Chenopodiaceae,Atriplex,sp,1.39,31.25,9.51,Nombre de especie no disponible,,,,,,,,,,,,,,
Caryophyllales,Nyctaginaceae,Boerhavia,sp,1.06,40.15,16.35,Nombre de especie no disponible,,,,,,,,,,,,,,
Caryophyllales,Nyctaginaceae,Guapira,noxia,1.40,64.52,23.83,,,,,,,,,,,,,,,
Caryophyllales,Nyctaginaceae,Guapira,petenensis,6.54,44.81,16.11,,,,,,,,,,,,,,,
Caryophyllales,Phytolaccaceae,Trichostigma,octandrum,27.60,129.95,29.08,,,,,,,,,,,,,,,
Caryophyllales,Polygonaceae,Antigonon,leptopus,2.86,50.91,19.08,,,,,,,,,,,,,,,
Caryophyllales,Polygonaceae,Eriogonum,affovalifolium,0.11,13.13,11.45,,http://www.worldfloraonline.org/taxon/wfo-0000675236,,0.3,16,0.1,10,0.2,6,0.2,1.5,Simple,16,1.5,No encontré la especie E. affovalifolium ¿Es sn. E. de ovalifolium?
Caryophyllales,Polygonaceae,Eriogonum,elongatum,1.18,20.25,13.15,,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=76426,,,,,,1,3,0.5,2,Simple,,,Completar búsqueda
Caryophyllales,Polygonaceae,Eriogonum,fasciculatum,1.91,35.73,12.28,,http://www.worldfloraonline.org/taxon/wfo-0000674787,,0.7,2.1,0.1,0.3,0.6,1.8,0.05,0.6,Simple,2.1,0.6,
Caryophyllales,Polygonaceae,Podopterus,cordifolius,10.89,87.95,27.92,,https://www.biodiversitylibrary.org/page/3330220#page/90/mode/1up,,,2.9,,0.4,,2.5,,1.4,Simple,2.9,1.4,
Caryophyllales,Polygonaceae,Rumex,sagittatus,7.67,79.27,28.00,,,,,,,,,,,,,,,
Caryophyllales,Simmondsiaceae,Simmondsia,chinensis,2.10,26.15,11.56,,,,,,,,,,,,,,,
Caryophyllales,Tamaricaceae,Tamarix,ramosissima,7.80,105.29,12.54,,,,,,,,,,,,,,,
Celastrales,Celastraceae,Crossopetalum,uragoga,1.92,24.61,14.87,,,,,,,,,,,,,,,
Celastrales,Celastraceae,Euonymus,japonicus,2.27,18.85,9.09,,,,,,,,,,,,,,,
Celastrales,Celastraceae,Maytenus,disticha,0.72,20.81,7.46,,,,,,,,,,,,,,,
Celastrales,Celastraceae,Maytenus,phyllanthoides,2.03,32.03,13.05,,,,,,,,,,,,,,,
Celastrales,Celastraceae,Peritassa,campestris,0.83,51.15,18.71,,,,,,,,,,,,,,,
Celastrales,Celastraceae,Plenckia,populnea,6.68,39.39,14.67,,,,,,,,,,,,,,,
Celastrales,Celastraceae,Semialarium,mexicanum,32.88,148.28,23.56,,,,,,,,,,,,,,,
Celastrales,Celastraceae,Wimmeria,bartlettii,17.00,59.58,10.54,,,,,,,,,,,,,,,
Chloranthales,Chloranthaceae,Ascarina,lucida,4.57,53.38,11.96,,,,,,,,,,,,,,,
Chloranthales,Chloranthaceae,Ascarina,rubricaulis,5.01,66.03,18.39,,,,,,,,,,,,,,,
Chloranthales,Chloranthaceae,Ascarina,solmsiana,4.36,70.48,26.08,,,,,,,,,,,,,,,
Chloranthales,Chloranthaceae,Ascarina,sp,6.90,69.06,20.97,,,,,,,,,,,,,,,
Chloranthales,Chloranthaceae,Hedyosmum,aff_cuatrecazanum,1.60,22.70,15.13,,,,,,,,,,,,,,,
Chloranthales,Chloranthaceae,Hedyosmum,mexicanum,9.92,122.68,32.16,,,,,,,,,,,,,,,
Chloranthales,Chloranthaceae,Hedyosmum,sp,1.67,30.05,11.69,,,,,,,,,,,,,,,
Commelinales,Commelinaceae,Tradescantia,zanonia,1.07,39.75,30.21,,,,,,,,,,,,,,,
Cornales,Hydrangeaceae,Hydrangea,macrophylla,0.98,30.31,16.48,,,,,,,,,,,,,,,
Crossosomatales,Crossosomataceae,Crossosoma,bigelovii,0.73,20.30,12.82,,,,,,,,,,,,,,,
Crossosomatales,Staphyleaceae,Turpinia,occidentalis,9.67,99.37,29.91,,,,,,,,,,,,,,,
Crossosomatales,Strasburgeriaceae,Strasburgeria,calliantha,7.91,81.89,20.89,,,,,,,,,,,,,,,
Cucurbitales,Coriariaceae,Coriaria,ruscifolia,0.58,28.75,15.80,,,,,,,,,,,,,,,
Cucurbitales,Cucurbitaceae,Apodanthera,congestiflora,1.25,48.21,36.46,,,,,,,,,,,,,,,
Cucurbitales,Cucurbitaceae,Doyerea,emetocathartica,5.88,122.38,46.99,,,,,,,,,,,,,,,
Cucurbitales,Cucurbitaceae,Ibervillea,sonorae,6.43,143.79,63.66,,,,,,,,,,,,,,,
Dilleniales,Dilleniaceae,Davilla,elliptica,2.97,87.13,17.33,,,,,,,,,,,,,,,
Dilleniales,Dilleniaceae,Hibbertia,bouletii,0.97,41.71,26.25,,,,,,,,,,,,,,,
Dilleniales,Dilleniaceae,Hibbertia,juncea,0.29,24.63,11.71,,,,,,,,,,,,,,,
Dilleniales,Dilleniaceae,Hibbertia,lucens,2.98,52.43,16.32,,,,,,,,,,,,,,,
Dilleniales,Dilleniaceae,Hibbertia,scandens,1.06,53.97,23.26,"Twigs marked by scars which encircle the twigs or are visible around most of the twig. Younger leaf bearing twigs clothed in pale prostrate hairs. Leaf blades about 6-9 x 2.2-3 cm, lateral veins difficult to distinguish, petioles very short or absent, distinctly channelled on the upper surface. Both the upper and lower surfaces of the leaf blade clothed in pale +/- prostrate hairs. Teeth (if present) on the leaf blade margins are usually sparsely scattered.",http://www.canbr.gov.au/cpbr/cd-keys/RFK7/key/RFK7/Media/Html/entities/Hibbertia_scandens.htm,,,,,,,,,,,7.5,,
Dilleniales,Dilleniaceae,Hibbertia,trachyphylla,1.97,69.29,13.31,,,,,,,,,,,,,,,
Dipsacales,Adoxaceae,Sambucus,canadensis,1.78,37.64,19.60,,,,,,,,,,,,,,,
